substance,density,temperature,pore_size,mean_a1,mean_a2,error_a1,error_a2
C3,257.40575200000006,600.0,30.0,-1.2432131753738307,-0.0466931661064545,0.0002513221285324,0.0010015347714139
C3,276.491516,600.0,30.0,-1.3601129106989982,-0.0439348894799219,0.0002949795557261,0.0011654248364239
C3,295.5212590000001,600.0,30.0,-1.479999511846038,-0.0419096296270039,0.0002408746183333,0.0009085522303894
C3,314.6013300000001,600.0,30.0,-1.4774415715872664,-0.0381606130864573,0.0002195592477555,0.0007748116611056
C3,333.560306,600.0,30.0,-1.617296770241671,-0.0394428971567664,0.0002424947885058,0.0008792913637133
C3,352.66928199999984,600.0,30.0,-1.7311923307166688,-0.0376992860566809,0.0002244491129476,0.0007861419568488
C3,371.718804,600.0,30.0,-1.870964090405664,-0.0355415230403751,0.0002201424234222,0.0007604199356578
C3,390.64117700000014,600.0,30.0,-2.01084971066247,-0.0374946980156998,0.0002674261850391,0.0009573529532655
C3,10.000239,600.0,120.0,-0.0666377557456015,-0.0132968437702302,0.0001468009564492,0.0003065467272692
C3,29.031721,600.0,120.0,-0.161365110586345,-0.0324699772321337,0.0002441416554225,0.0008252635443683
C3,48.06974600000001,600.0,120.0,-0.2382790304925971,-0.0451526985555567,0.0002864935373902,0.0011251710637126
C3,67.10879399999999,600.0,120.0,-0.3124842053050264,-0.0497714588465621,0.0002623626810985,0.0010990782932588
C3,86.15172299999998,600.0,120.0,-0.3888908007594949,-0.0529865819484621,0.0002995845634005,0.0012440217924531
C3,105.152603,600.0,120.0,-0.468008666148683,-0.0571316721520303,0.0002775774443767,0.0012042986395976
C3,124.19102500000002,600.0,120.0,-0.5519327068483321,-0.0559355136280191,0.0002609458007899,0.0010965248268615
C3,143.21098099999995,600.0,120.0,-0.6389741854967836,-0.0592904656446141,0.0003208285866427,0.001432832543058
C3,162.28868000000003,600.0,120.0,-0.7307010747557466,-0.0558992576584831,0.000393524156568,0.0017256213100273
C3,181.275387,600.0,120.0,-0.8260948094914481,-0.0558099821928942,0.0003550643620205,0.0015398539586553
C3,200.3689410000001,600.0,120.0,-0.9248224861012704,-0.0571741070894539,0.0003862908382556,0.0017123020477647
C3,219.304032,600.0,120.0,-1.0269364547055482,-0.0520170149356685,0.0003598066398318,0.0014894056246886
C3,276.491516,600.0,120.0,-1.168718821138023,-0.0457391964283377,0.0003211270579332,0.0012395245133029
C3,295.5212590000001,600.0,120.0,-1.3492514997472629,-0.0427675622563606,0.0002503885842391,0.0009629870230577
C3,314.6013300000001,600.0,120.0,-1.4616476795693207,-0.0415407958317468,0.000316458553402,0.0011949032509386
C3,333.695092,600.0,120.0,-1.5991920957720458,-0.0384872495034589,0.0002892389295265,0.0010257700682677
C3,352.5228399999999,600.0,120.0,-1.825109414367304,-0.0364752738561614,0.0002673097626661,0.0009216363964135
C3,371.718804,600.0,120.0,-1.948870597042744,-0.0336645987582864,0.0002475403762404,0.0008562952929929
C3,390.812005,600.0,120.0,-2.0737578057195054,-0.033155463611514,0.0002531411336933,0.0008873792052367
C4,29.036161,600.0,30.0,-0.1307911040955082,-0.0254924384963246,0.00039193227787,0.0009866143990682
C4,48.069494,600.0,30.0,-0.2259005309280385,-0.0365474223791501,0.0003477437933554,0.0010757103036514
C4,67.11385399999998,600.0,30.0,-0.3248974419870626,-0.0489366386052806,0.000390244061637,0.0013629543150604
C4,86.134762,600.0,30.0,-0.4245268229699553,-0.0610346516475409,0.0003859826226846,0.0015221509771562
C4,105.16779999999996,600.0,30.0,-0.5239357981359445,-0.0673758504279469,0.0004425268094983,0.0017686858066464
C4,124.20366599999996,600.0,30.0,-0.6210399663285155,-0.0780925540141771,0.0004768212318598,0.0021034465158221
C4,143.24878600000005,600.0,30.0,-0.719377490570628,-0.0827129775887344,0.000437178443575,0.0021325313059381
C4,162.277048,600.0,30.0,-0.8188869308068439,-0.0788995160634902,0.0006342330843457,0.0028397383207515
C4,181.32344400000005,600.0,30.0,-0.9237687864082932,-0.0835417094741307,0.0004902664369329,0.0022320511021907
C4,200.34203400000004,600.0,30.0,-1.034115556484472,-0.0881399346639927,0.0004997363963688,0.002337595696345
C4,219.3684269999999,600.0,30.0,-1.147489692988655,-0.0781713203089583,0.0005094261467002,0.002196979885827
C4,238.423578,600.0,30.0,-1.2672854133355125,-0.0756232720016682,0.0004361954683082,0.001941252772316
C4,257.4744850000001,600.0,30.0,-1.3921628507371546,-0.0715369242058455,0.0004198168374244,0.0018047385740919
C4,276.5295689999999,600.0,30.0,-1.5245703558103538,-0.0672207609029246,0.0005117621862934,0.0020535070538355
C4,295.5022170000001,600.0,30.0,-1.6599172845087684,-0.0606424856738396,0.0003780485775079,0.0015222393516892
C4,314.62141999999994,600.0,30.0,-1.802422003471042,-0.0588163240108685,0.0003326552621142,0.0012726923538089
C4,333.61028600000003,600.0,30.0,-1.9492170259393533,-0.0566240706042833,0.0003860927643114,0.0015065844076375
C4,390.7192949999999,600.0,30.0,-2.320504204809569,-0.0490940901163577,0.000471447897752,0.0017176861529372
C4,10.001179000000004,600.0,120.0,-0.0980901099863943,-0.0241835356391713,0.0003396921419745,0.0007982680302124
C4,29.03965,600.0,120.0,-0.2240642923621752,-0.0570489006065393,0.0004093455383211,0.0015381997703403
C4,48.076927,600.0,120.0,-0.3075653137672929,-0.0757751392996585,0.0005122462404938,0.0022495570242272
C4,67.10159399999999,600.0,120.0,-0.3830199222830173,-0.0810352733249748,0.0005037738387128,0.0022548607148837
C4,86.152592,600.0,120.0,-0.4609045996221,-0.0885108147022392,0.0005503307732672,0.0025736923472496
C4,105.191856,600.0,120.0,-0.5438609422733324,-0.0893234500792491,0.0004550708916618,0.0021473744201192
C4,124.234541,600.0,120.0,-0.6333537517543653,-0.0900888601711833,0.0006048706608083,0.0028507898231896
C4,162.277048,600.0,120.0,-0.8198778321819189,-0.0858674457431752,0.0005069225253833,0.0023947442672206
C4,181.32344400000005,600.0,120.0,-0.9320721971607324,-0.0878356412989747,0.0005438086433305,0.0027582312324626
C4,200.34203400000004,600.0,120.0,-1.0403717134140968,-0.0836638594490512,0.0004814269912678,0.0022357250395158
C4,219.440904,600.0,120.0,-1.1561639717015857,-0.0800559356892536,0.0005359378202082,0.0024145393277776
C4,238.423578,600.0,120.0,-1.2743683919328213,-0.0740705908524677,0.0004301474030225,0.0018609125545918
C4,257.382373,600.0,120.0,-1.3990102930898216,-0.077067602666441,0.0005362987461638,0.0023956541226149
C4,276.4270459999999,600.0,120.0,-1.5258584863523637,-0.0685212788016602,0.0003896943881726,0.0016281759077694
C4,295.615534,600.0,120.0,-1.6584782104650544,-0.0653377258538094,0.0003943540894639,0.001609661584747
C4,314.62141999999994,600.0,120.0,-1.7936513179495446,-0.0621684483664481,0.0005013924906321,0.0020062373096796
C4,333.61028600000003,600.0,120.0,-1.9307996593068424,-0.0579870694406234,0.000443883431505,0.0016722857310724
C4,352.5930769999999,600.0,120.0,-2.073007608591264,-0.0542356937945101,0.0004067042356533,0.0014606572916662
C4,371.640473,600.0,120.0,-2.216769348304769,-0.0513665331048197,0.0004997702749383,0.0018438533526286
C4,390.547115,600.0,120.0,-2.3625041523083947,-0.0457314363505371,0.0003523292902343,0.0011891205131434
